the,of,is,cause
pokemon/type/0,9mxVpijk6L2QPNG7yvoshAg2799PRRm396XVqFU5Xgm2,fire,
pokemon/name,9nWm9oeeUnXKRwaVi6NiHqQahSqBDVzHmwogtHUD3hCG,araquanid-totem,
pokemon/stat/attack,9nWm9oeeUnXKRwaVi6NiHqQahSqBDVzHmwogtHUD3hCG,70,
pokemon/stat/defense,9nWm9oeeUnXKRwaVi6NiHqQahSqBDVzHmwogtHUD3hCG,92,
pokemon/stat/hp,9nWm9oeeUnXKRwaVi6NiHqQahSqBDVzHmwogtHUD3hCG,68,
pokemon/stat/special-attack,9nWm9oeeUnXKRwaVi6NiHqQahSqBDVzHmwogtHUD3hCG,50,
pokemon/stat/special-defense,9nWm9oeeUnXKRwaVi6NiHqQahSqBDVzHmwogtHUD3hCG,132,
pokemon/stat/speed,9nWm9oeeUnXKRwaVi6NiHqQahSqBDVzHmwogtHUD3hCG,42,
pokemon/type/0,9nWm9oeeUnXKRwaVi6NiHqQahSqBDVzHmwogtHUD3hCG,water,
pokemon/type/1,9nWm9oeeUnXKRwaVi6NiHqQahSqBDVzHmwogtHUD3hCG,bug,
pokemon/name,9o4VaDaRc2qPZHHSAakTimGFG7vUMzMq58isZUpoQbaa,palkia-origin,
pokemon/stat/attack,9o4VaDaRc2qPZHHSAakTimGFG7vUMzMq58isZUpoQbaa,100,
pokemon/stat/defense,9o4VaDaRc2qPZHHSAakTimGFG7vUMzMq58isZUpoQbaa,100,
pokemon/stat/hp,9o4VaDaRc2qPZHHSAakTimGFG7vUMzMq58isZUpoQbaa,90,
pokemon/stat/special-attack,9o4VaDaRc2qPZHHSAakTimGFG7vUMzMq58isZUpoQbaa,150,
pokemon/stat/special-defense,9o4VaDaRc2qPZHHSAakTimGFG7vUMzMq58isZUpoQbaa,120,
pokemon/stat/speed,9o4VaDaRc2qPZHHSAakTimGFG7vUMzMq58isZUpoQbaa,120,
pokemon/type/0,9o4VaDaRc2qPZHHSAakTimGFG7vUMzMq58isZUpoQbaa,water,
pokemon/type/1,9o4VaDaRc2qPZHHSAakTimGFG7vUMzMq58isZUpoQbaa,dragon,
pokemon/name,9o6z5z5xHmgXcxzEEDXUS2Yvj4jDXiXezWQ4HagvKboT,kyogre-primal,
pokemon/stat/attack,9o6z5z5xHmgXcxzEEDXUS2Yvj4jDXiXezWQ4HagvKboT,150,
pokemon/stat/defense,9o6z5z5xHmgXcxzEEDXUS2Yvj4jDXiXezWQ4HagvKboT,90,
pokemon/stat/hp,9o6z5z5xHmgXcxzEEDXUS2Yvj4jDXiXezWQ4HagvKboT,100,
pokemon/stat/special-attack,9o6z5z5xHmgXcxzEEDXUS2Yvj4jDXiXezWQ4HagvKboT,180,
pokemon/stat/special-defense,9o6z5z5xHmgXcxzEEDXUS2Yvj4jDXiXezWQ4HagvKboT,160,
pokemon/stat/speed,9o6z5z5xHmgXcxzEEDXUS2Yvj4jDXiXezWQ4HagvKboT,90,
pokemon/type/0,9o6z5z5xHmgXcxzEEDXUS2Yvj4jDXiXezWQ4HagvKboT,water,
pokemon/name,9qpnj7rACBSH2XmRJZT4PDogLMLzyxv14S3GecpUTxyu,camerupt-mega,
pokemon/stat/attack,9qpnj7rACBSH2XmRJZT4PDogLMLzyxv14S3GecpUTxyu,120,
pokemon/stat/defense,9qpnj7rACBSH2XmRJZT4PDogLMLzyxv14S3GecpUTxyu,100,
pokemon/stat/hp,9qpnj7rACBSH2XmRJZT4PDogLMLzyxv14S3GecpUTxyu,70,
pokemon/stat/special-attack,9qpnj7rACBSH2XmRJZT4PDogLMLzyxv14S3GecpUTxyu,145,
pokemon/stat/special-defense,9qpnj7rACBSH2XmRJZT4PDogLMLzyxv14S3GecpUTxyu,105,
pokemon/stat/speed,9qpnj7rACBSH2XmRJZT4PDogLMLzyxv14S3GecpUTxyu,20,
pokemon/type/0,9qpnj7rACBSH2XmRJZT4PDogLMLzyxv14S3GecpUTxyu,fire,
pokemon/type/1,9qpnj7rACBSH2XmRJZT4PDogLMLzyxv14S3GecpUTxyu,ground,
pokemon/name,9qu37nNhVdfZ8dKpcAJ5K6FjfEoj1oUFU8GqPSKXMe2o,nidorino,
pokemon/stat/attack,9qu37nNhVdfZ8dKpcAJ5K6FjfEoj1oUFU8GqPSKXMe2o,72,
pokemon/stat/defense,9qu37nNhVdfZ8dKpcAJ5K6FjfEoj1oUFU8GqPSKXMe2o,57,
pokemon/stat/hp,9qu37nNhVdfZ8dKpcAJ5K6FjfEoj1oUFU8GqPSKXMe2o,61,
pokemon/stat/special-attack,9qu37nNhVdfZ8dKpcAJ5K6FjfEoj1oUFU8GqPSKXMe2o,55,
pokemon/stat/special-defense,9qu37nNhVdfZ8dKpcAJ5K6FjfEoj1oUFU8GqPSKXMe2o,55,
pokemon/stat/speed,9qu37nNhVdfZ8dKpcAJ5K6FjfEoj1oUFU8GqPSKXMe2o,65,
pokemon/type/0,9qu37nNhVdfZ8dKpcAJ5K6FjfEoj1oUFU8GqPSKXMe2o,poison,
pokemon/name,9rEuekqY4nax7hEy8QWEa1bwyjrvT7RFhFCZuc7ar7wT,deoxys-defense,
pokemon/stat/attack,9rEuekqY4nax7hEy8QWEa1bwyjrvT7RFhFCZuc7ar7wT,70,
pokemon/stat/defense,9rEuekqY4nax7hEy8QWEa1bwyjrvT7RFhFCZuc7ar7wT,160,
pokemon/stat/hp,9rEuekqY4nax7hEy8QWEa1bwyjrvT7RFhFCZuc7ar7wT,50,
pokemon/stat/special-attack,9rEuekqY4nax7hEy8QWEa1bwyjrvT7RFhFCZuc7ar7wT,70,
pokemon/stat/special-defense,9rEuekqY4nax7hEy8QWEa1bwyjrvT7RFhFCZuc7ar7wT,160,
pokemon/stat/speed,9rEuekqY4nax7hEy8QWEa1bwyjrvT7RFhFCZuc7ar7wT,90,
pokemon/type/0,9rEuekqY4nax7hEy8QWEa1bwyjrvT7RFhFCZuc7ar7wT,psychic,
pokemon/name,9rhLN9BYvobm8qKPPCEDQhhT8b9SPhGgW6GGF8YThijf,metapod,
pokemon/stat/attack,9rhLN9BYvobm8qKPPCEDQhhT8b9SPhGgW6GGF8YThijf,20,
pokemon/stat/defense,9rhLN9BYvobm8qKPPCEDQhhT8b9SPhGgW6GGF8YThijf,55,
pokemon/stat/hp,9rhLN9BYvobm8qKPPCEDQhhT8b9SPhGgW6GGF8YThijf,50,
pokemon/stat/special-attack,9rhLN9BYvobm8qKPPCEDQhhT8b9SPhGgW6GGF8YThijf,25,
pokemon/stat/special-defense,9rhLN9BYvobm8qKPPCEDQhhT8b9SPhGgW6GGF8YThijf,25,
pokemon/stat/speed,9rhLN9BYvobm8qKPPCEDQhhT8b9SPhGgW6GGF8YThijf,30,
pokemon/type/0,9rhLN9BYvobm8qKPPCEDQhhT8b9SPhGgW6GGF8YThijf,bug,
pokemon/name,9tQjqtvetqGqfKiUE5FuChLRzA1DRJQ9gfHx7N1ZkuE4,enamorus-incarnate,
pokemon/stat/attack,9tQjqtvetqGqfKiUE5FuChLRzA1DRJQ9gfHx7N1ZkuE4,115,
pokemon/stat/defense,9tQjqtvetqGqfKiUE5FuChLRzA1DRJQ9gfHx7N1ZkuE4,70,
pokemon/stat/hp,9tQjqtvetqGqfKiUE5FuChLRzA1DRJQ9gfHx7N1ZkuE4,74,
pokemon/stat/special-attack,9tQjqtvetqGqfKiUE5FuChLRzA1DRJQ9gfHx7N1ZkuE4,135,
pokemon/stat/special-defense,9tQjqtvetqGqfKiUE5FuChLRzA1DRJQ9gfHx7N1ZkuE4,80,
pokemon/stat/speed,9tQjqtvetqGqfKiUE5FuChLRzA1DRJQ9gfHx7N1ZkuE4,106,
pokemon/type/0,9tQjqtvetqGqfKiUE5FuChLRzA1DRJQ9gfHx7N1ZkuE4,fairy,
pokemon/type/1,9tQjqtvetqGqfKiUE5FuChLRzA1DRJQ9gfHx7N1ZkuE4,flying,
pokemon/name,9uMGddNwfJfrjSfxD2tKL9CsYirEcSEqNn3vWiD7sFpe,cursola,
pokemon/stat/attack,9uMGddNwfJfrjSfxD2tKL9CsYirEcSEqNn3vWiD7sFpe,95,
pokemon/stat/defense,9uMGddNwfJfrjSfxD2tKL9CsYirEcSEqNn3vWiD7sFpe,50,
pokemon/stat/hp,9uMGddNwfJfrjSfxD2tKL9CsYirEcSEqNn3vWiD7sFpe,60,
pokemon/stat/special-attack,9uMGddNwfJfrjSfxD2tKL9CsYirEcSEqNn3vWiD7sFpe,145,
pokemon/stat/special-defense,9uMGddNwfJfrjSfxD2tKL9CsYirEcSEqNn3vWiD7sFpe,130,
pokemon/stat/speed,9uMGddNwfJfrjSfxD2tKL9CsYirEcSEqNn3vWiD7sFpe,30,
pokemon/type/0,9uMGddNwfJfrjSfxD2tKL9CsYirEcSEqNn3vWiD7sFpe,ghost,
pokemon/name,9vArgG6HNE34jbRfrYTTo4VrbBFy4EmsnZL9s1NzQRMe,zekrom,
pokemon/stat/attack,9vArgG6HNE34jbRfrYTTo4VrbBFy4EmsnZL9s1NzQRMe,150,
pokemon/stat/defense,9vArgG6HNE34jbRfrYTTo4VrbBFy4EmsnZL9s1NzQRMe,120,
pokemon/stat/hp,9vArgG6HNE34jbRfrYTTo4VrbBFy4EmsnZL9s1NzQRMe,100,
pokemon/stat/special-attack,9vArgG6HNE34jbRfrYTTo4VrbBFy4EmsnZL9s1NzQRMe,120,
pokemon/stat/special-defense,9vArgG6HNE34jbRfrYTTo4VrbBFy4EmsnZL9s1NzQRMe,100,
pokemon/stat/speed,9vArgG6HNE34jbRfrYTTo4VrbBFy4EmsnZL9s1NzQRMe,90,
pokemon/type/0,9vArgG6HNE34jbRfrYTTo4VrbBFy4EmsnZL9s1NzQRMe,dragon,
pokemon/type/1,9vArgG6HNE34jbRfrYTTo4VrbBFy4EmsnZL9s1NzQRMe,electric,
pokemon/name,9vFjVmhGBRKBpykPNLKNw4nEUvYDvcynGqJqFXwssvx2,nymble,
pokemon/stat/attack,9vFjVmhGBRKBpykPNLKNw4nEUvYDvcynGqJqFXwssvx2,46,
pokemon/stat/defense,9vFjVmhGBRKBpykPNLKNw4nEUvYDvcynGqJqFXwssvx2,40,
pokemon/stat/hp,9vFjVmhGBRKBpykPNLKNw4nEUvYDvcynGqJqFXwssvx2,33,
pokemon/stat/special-attack,9vFjVmhGBRKBpykPNLKNw4nEUvYDvcynGqJqFXwssvx2,21,
pokemon/stat/special-defense,9vFjVmhGBRKBpykPNLKNw4nEUvYDvcynGqJqFXwssvx2,25,
pokemon/stat/speed,9vFjVmhGBRKBpykPNLKNw4nEUvYDvcynGqJqFXwssvx2,45,
pokemon/type/0,9vFjVmhGBRKBpykPNLKNw4nEUvYDvcynGqJqFXwssvx2,bug,
pokemon/name,9vSMr6fP81iAtTMygvF6uRSiRedn5himQSo3HSYgZe4T,slowbro,
pokemon/stat/attack,9vSMr6fP81iAtTMygvF6uRSiRedn5himQSo3HSYgZe4T,75,
pokemon/stat/defense,9vSMr6fP81iAtTMygvF6uRSiRedn5himQSo3HSYgZe4T,110,
pokemon/stat/hp,9vSMr6fP81iAtTMygvF6uRSiRedn5himQSo3HSYgZe4T,95,
pokemon/stat/special-attack,9vSMr6fP81iAtTMygvF6uRSiRedn5himQSo3HSYgZe4T,100,
pokemon/stat/special-defense,9vSMr6fP81iAtTMygvF6uRSiRedn5himQSo3HSYgZe4T,80,
pokemon/stat/speed,9vSMr6fP81iAtTMygvF6uRSiRedn5himQSo3HSYgZe4T,30,
pokemon/type/0,9vSMr6fP81iAtTMygvF6uRSiRedn5himQSo3HSYgZe4T,water,
pokemon/type/1,9vSMr6fP81iAtTMygvF6uRSiRedn5himQSo3HSYgZe4T,psychic,
pokemon/name,9vWPdAq7GUBgmzdG7hSGXYsqZUFhrc5dF8EtY85wztgg,meowth-gmax,
pokemon/stat/attack,9vWPdAq7GUBgmzdG7hSGXYsqZUFhrc5dF8EtY85wztgg,45,
pokemon/stat/defense,9vWPdAq7GUBgmzdG7hSGXYsqZUFhrc5dF8EtY85wztgg,35,
pokemon/stat/hp,9vWPdAq7GUBgmzdG7hSGXYsqZUFhrc5dF8EtY85wztgg,40,
pokemon/stat/special-attack,9vWPdAq7GUBgmzdG7hSGXYsqZUFhrc5dF8EtY85wztgg,40,
pokemon/stat/special-defense,9vWPdAq7GUBgmzdG7hSGXYsqZUFhrc5dF8EtY85wztgg,40,
pokemon/stat/speed,9vWPdAq7GUBgmzdG7hSGXYsqZUFhrc5dF8EtY85wztgg,90,
pokemon/type/0,9vWPdAq7GUBgmzdG7hSGXYsqZUFhrc5dF8EtY85wztgg,normal,
pokemon/name,9wRBfCssRvvkyG7qLmmx76MG7QeMcZum3KYwGRWsnUJg,cryogonal,
pokemon/stat/attack,9wRBfCssRvvkyG7qLmmx76MG7QeMcZum3KYwGRWsnUJg,50,
pokemon/stat/defense,9wRBfCssRvvkyG7qLmmx76MG7QeMcZum3KYwGRWsnUJg,50,
pokemon/stat/hp,9wRBfCssRvvkyG7qLmmx76MG7QeMcZum3KYwGRWsnUJg,80,
pokemon/stat/special-attack,9wRBfCssRvvkyG7qLmmx76MG7QeMcZum3KYwGRWsnUJg,95,
pokemon/stat/special-defense,9wRBfCssRvvkyG7qLmmx76MG7QeMcZum3KYwGRWsnUJg,135,
pokemon/stat/speed,9wRBfCssRvvkyG7qLmmx76MG7QeMcZum3KYwGRWsnUJg,105,
pokemon/type/0,9wRBfCssRvvkyG7qLmmx76MG7QeMcZum3KYwGRWsnUJg,ice,
pokemon/name,9wfQcuqQdB1Jjwbj6kUiGs283tVKWgrvu5jxjqB4Q8Tb,cleffa,
pokemon/stat/attack,9wfQcuqQdB1Jjwbj6kUiGs283tVKWgrvu5jxjqB4Q8Tb,25,
pokemon/stat/defense,9wfQcuqQdB1Jjwbj6kUiGs283tVKWgrvu5jxjqB4Q8Tb,28,
pokemon/stat/hp,9wfQcuqQdB1Jjwbj6kUiGs283tVKWgrvu5jxjqB4Q8Tb,50,
pokemon/stat/special-attack,9wfQcuqQdB1Jjwbj6kUiGs283tVKWgrvu5jxjqB4Q8Tb,45,
pokemon/stat/special-defense,9wfQcuqQdB1Jjwbj6kUiGs283tVKWgrvu5jxjqB4Q8Tb,55,
pokemon/stat/speed,9wfQcuqQdB1Jjwbj6kUiGs283tVKWgrvu5jxjqB4Q8Tb,15,
pokemon/type/0,9wfQcuqQdB1Jjwbj6kUiGs283tVKWgrvu5jxjqB4Q8Tb,fairy,
pokemon/name,9wimzWn387nDGGt6h1tjxTmTgmqWYvJUguc259yQk8Ta,togekiss,
pokemon/stat/attack,9wimzWn387nDGGt6h1tjxTmTgmqWYvJUguc259yQk8Ta,50,
pokemon/stat/defense,9wimzWn387nDGGt6h1tjxTmTgmqWYvJUguc259yQk8Ta,95,
pokemon/stat/hp,9wimzWn387nDGGt6h1tjxTmTgmqWYvJUguc259yQk8Ta,85,
pokemon/stat/special-attack,9wimzWn387nDGGt6h1tjxTmTgmqWYvJUguc259yQk8Ta,120,
pokemon/stat/special-defense,9wimzWn387nDGGt6h1tjxTmTgmqWYvJUguc259yQk8Ta,115,
pokemon/stat/speed,9wimzWn387nDGGt6h1tjxTmTgmqWYvJUguc259yQk8Ta,80,
pokemon/type/0,9wimzWn387nDGGt6h1tjxTmTgmqWYvJUguc259yQk8Ta,fairy,
pokemon/type/1,9wimzWn387nDGGt6h1tjxTmTgmqWYvJUguc259yQk8Ta,flying,
pokemon/name,9xGKQ2KqQWDznWSZQ14V3Aze1sKa9orLqVCBh4jq6Ymd,banette,
pokemon/stat/attack,9xGKQ2KqQWDznWSZQ14V3Aze1sKa9orLqVCBh4jq6Ymd,115,
pokemon/stat/defense,9xGKQ2KqQWDznWSZQ14V3Aze1sKa9orLqVCBh4jq6Ymd,65,
pokemon/stat/hp,9xGKQ2KqQWDznWSZQ14V3Aze1sKa9orLqVCBh4jq6Ymd,64,
pokemon/stat/special-attack,9xGKQ2KqQWDznWSZQ14V3Aze1sKa9orLqVCBh4jq6Ymd,83,
pokemon/stat/special-defense,9xGKQ2KqQWDznWSZQ14V3Aze1sKa9orLqVCBh4jq6Ymd,63,
pokemon/stat/speed,9xGKQ2KqQWDznWSZQ14V3Aze1sKa9orLqVCBh4jq6Ymd,65,
pokemon/type/0,9xGKQ2KqQWDznWSZQ14V3Aze1sKa9orLqVCBh4jq6Ymd,ghost,
pokemon/name,9xei7HYSvgsXKjbvqbrQgCY9AmYmN2EU3XAkn3SLgRUd,pumpkaboo-super,
pokemon/stat/attack,9xei7HYSvgsXKjbvqbrQgCY9AmYmN2EU3XAkn3SLgRUd,66,
pokemon/stat/defense,9xei7HYSvgsXKjbvqbrQgCY9AmYmN2EU3XAkn3SLgRUd,70,
pokemon/stat/hp,9xei7HYSvgsXKjbvqbrQgCY9AmYmN2EU3XAkn3SLgRUd,59,
pokemon/stat/special-attack,9xei7HYSvgsXKjbvqbrQgCY9AmYmN2EU3XAkn3SLgRUd,44,
pokemon/stat/special-defense,9xei7HYSvgsXKjbvqbrQgCY9AmYmN2EU3XAkn3SLgRUd,55,
pokemon/stat/speed,9xei7HYSvgsXKjbvqbrQgCY9AmYmN2EU3XAkn3SLgRUd,41,
pokemon/type/0,9xei7HYSvgsXKjbvqbrQgCY9AmYmN2EU3XAkn3SLgRUd,ghost,
pokemon/type/1,9xei7HYSvgsXKjbvqbrQgCY9AmYmN2EU3XAkn3SLgRUd,grass,
pokemon/name,9xvxSnZv9bj22kjjDsGhuG4LybpAV8PRk5f5LYF7hALy,lanturn,
pokemon/stat/attack,9xvxSnZv9bj22kjjDsGhuG4LybpAV8PRk5f5LYF7hALy,58,
pokemon/stat/defense,9xvxSnZv9bj22kjjDsGhuG4LybpAV8PRk5f5LYF7hALy,58,
pokemon/stat/hp,9xvxSnZv9bj22kjjDsGhuG4LybpAV8PRk5f5LYF7hALy,125,
pokemon/stat/special-attack,9xvxSnZv9bj22kjjDsGhuG4LybpAV8PRk5f5LYF7hALy,76,
pokemon/stat/special-defense,9xvxSnZv9bj22kjjDsGhuG4LybpAV8PRk5f5LYF7hALy,76,
pokemon/stat/speed,9xvxSnZv9bj22kjjDsGhuG4LybpAV8PRk5f5LYF7hALy,67,
pokemon/type/0,9xvxSnZv9bj22kjjDsGhuG4LybpAV8PRk5f5LYF7hALy,water,
pokemon/type/1,9xvxSnZv9bj22kjjDsGhuG4LybpAV8PRk5f5LYF7hALy,electric,
pokemon/name,9ynnyV3CaUSpAwJUgWxtNp5YKVNWVNAHY5CpcSLY73VF,iron-bundle,
pokemon/stat/attack,9ynnyV3CaUSpAwJUgWxtNp5YKVNWVNAHY5CpcSLY73VF,80,
pokemon/stat/defense,9ynnyV3CaUSpAwJUgWxtNp5YKVNWVNAHY5CpcSLY73VF,114,
pokemon/stat/hp,9ynnyV3CaUSpAwJUgWxtNp5YKVNWVNAHY5CpcSLY73VF,56,
pokemon/stat/special-attack,9ynnyV3CaUSpAwJUgWxtNp5YKVNWVNAHY5CpcSLY73VF,124,
pokemon/stat/special-defense,9ynnyV3CaUSpAwJUgWxtNp5YKVNWVNAHY5CpcSLY73VF,60,
pokemon/stat/speed,9ynnyV3CaUSpAwJUgWxtNp5YKVNWVNAHY5CpcSLY73VF,136,
pokemon/type/0,9ynnyV3CaUSpAwJUgWxtNp5YKVNWVNAHY5CpcSLY73VF,ice,
pokemon/type/1,9ynnyV3CaUSpAwJUgWxtNp5YKVNWVNAHY5CpcSLY73VF,water,
pokemon/name,9yvkw8bXCXQTkVMyySDbFkw9T8ND55wfmwdnMVxhCwuv,urshifu-single-strike,
pokemon/stat/attack,9yvkw8bXCXQTkVMyySDbFkw9T8ND55wfmwdnMVxhCwuv,130,
pokemon/stat/defense,9yvkw8bXCXQTkVMyySDbFkw9T8ND55wfmwdnMVxhCwuv,100,
pokemon/stat/hp,9yvkw8bXCXQTkVMyySDbFkw9T8ND55wfmwdnMVxhCwuv,100,
pokemon/stat/special-attack,9yvkw8bXCXQTkVMyySDbFkw9T8ND55wfmwdnMVxhCwuv,63,
pokemon/stat/special-defense,9yvkw8bXCXQTkVMyySDbFkw9T8ND55wfmwdnMVxhCwuv,60,
pokemon/stat/speed,9yvkw8bXCXQTkVMyySDbFkw9T8ND55wfmwdnMVxhCwuv,97,
pokemon/type/0,9yvkw8bXCXQTkVMyySDbFkw9T8ND55wfmwdnMVxhCwuv,fighting,
pokemon/type/1,9yvkw8bXCXQTkVMyySDbFkw9T8ND55wfmwdnMVxhCwuv,dark,
pokemon/name,9zvtL742DA1ZURdWbZPVRGqyNNjmGoLYpBRnctTFUj2w,minior-blue,
pokemon/stat/attack,9zvtL742DA1ZURdWbZPVRGqyNNjmGoLYpBRnctTFUj2w,100,
pokemon/stat/defense,9zvtL742DA1ZURdWbZPVRGqyNNjmGoLYpBRnctTFUj2w,60,
pokemon/stat/hp,9zvtL742DA1ZURdWbZPVRGqyNNjmGoLYpBRnctTFUj2w,60,
pokemon/stat/special-attack,9zvtL742DA1ZURdWbZPVRGqyNNjmGoLYpBRnctTFUj2w,100,
pokemon/stat/special-defense,9zvtL742DA1ZURdWbZPVRGqyNNjmGoLYpBRnctTFUj2w,60,
pokemon/stat/speed,9zvtL742DA1ZURdWbZPVRGqyNNjmGoLYpBRnctTFUj2w,120,
pokemon/type/0,9zvtL742DA1ZURdWbZPVRGqyNNjmGoLYpBRnctTFUj2w,rock,
pokemon/type/1,9zvtL742DA1ZURdWbZPVRGqyNNjmGoLYpBRnctTFUj2w,flying,
pokemon/name,A1aDkwG5vD85nsHSXCbAgrrGiqJeUVEAPzrC1Bewga3V,lilligant-hisui,
pokemon/stat/attack,A1aDkwG5vD85nsHSXCbAgrrGiqJeUVEAPzrC1Bewga3V,105,
pokemon/stat/defense,A1aDkwG5vD85nsHSXCbAgrrGiqJeUVEAPzrC1Bewga3V,75,
pokemon/stat/hp,A1aDkwG5vD85nsHSXCbAgrrGiqJeUVEAPzrC1Bewga3V,70,
pokemon/stat/special-attack,A1aDkwG5vD85nsHSXCbAgrrGiqJeUVEAPzrC1Bewga3V,50,
pokemon/stat/special-defense,A1aDkwG5vD85nsHSXCbAgrrGiqJeUVEAPzrC1Bewga3V,75,
pokemon/stat/speed,A1aDkwG5vD85nsHSXCbAgrrGiqJeUVEAPzrC1Bewga3V,105,
pokemon/type/0,A1aDkwG5vD85nsHSXCbAgrrGiqJeUVEAPzrC1Bewga3V,grass,
pokemon/type/1,A1aDkwG5vD85nsHSXCbAgrrGiqJeUVEAPzrC1Bewga3V,fighting,
pokemon/name,A1yXVrBgo2fEXy5zFGmC1gCmnWkqsxs1H5aJfebj9BLg,pikachu-pop-star,
pokemon/stat/attack,A1yXVrBgo2fEXy5zFGmC1gCmnWkqsxs1H5aJfebj9BLg,55,
pokemon/stat/defense,A1yXVrBgo2fEXy5zFGmC1gCmnWkqsxs1H5aJfebj9BLg,40,
pokemon/stat/hp,A1yXVrBgo2fEXy5zFGmC1gCmnWkqsxs1H5aJfebj9BLg,35,
pokemon/stat/special-attack,A1yXVrBgo2fEXy5zFGmC1gCmnWkqsxs1H5aJfebj9BLg,50,
pokemon/stat/special-defense,A1yXVrBgo2fEXy5zFGmC1gCmnWkqsxs1H5aJfebj9BLg,50,
pokemon/stat/speed,A1yXVrBgo2fEXy5zFGmC1gCmnWkqsxs1H5aJfebj9BLg,90,
pokemon/type/0,A1yXVrBgo2fEXy5zFGmC1gCmnWkqsxs1H5aJfebj9BLg,electric,
pokemon/name,A2EgY44mBwCJtBJG2kTxY7m8yQ7WTR6Cvu3vtq5wnTB6,tatsugiri-stretchy,
pokemon/stat/attack,A2EgY44mBwCJtBJG2kTxY7m8yQ7WTR6Cvu3vtq5wnTB6,50,
pokemon/stat/defense,A2EgY44mBwCJtBJG2kTxY7m8yQ7WTR6Cvu3vtq5wnTB6,60,
pokemon/stat/hp,A2EgY44mBwCJtBJG2kTxY7m8yQ7WTR6Cvu3vtq5wnTB6,68,
pokemon/stat/special-attack,A2EgY44mBwCJtBJG2kTxY7m8yQ7WTR6Cvu3vtq5wnTB6,120,
pokemon/stat/special-defense,A2EgY44mBwCJtBJG2kTxY7m8yQ7WTR6Cvu3vtq5wnTB6,95,
pokemon/stat/speed,A2EgY44mBwCJtBJG2kTxY7m8yQ7WTR6Cvu3vtq5wnTB6,82,
pokemon/type/0,A2EgY44mBwCJtBJG2kTxY7m8yQ7WTR6Cvu3vtq5wnTB6,dragon,
pokemon/type/1,A2EgY44mBwCJtBJG2kTxY7m8yQ7WTR6Cvu3vtq5wnTB6,water,
pokemon/name,A2P1WjPGctmzUV2gjBz3XaU7JbMQrJpu6QBZqz1sFFVU,ceruledge,
pokemon/stat/attack,A2P1WjPGctmzUV2gjBz3XaU7JbMQrJpu6QBZqz1sFFVU,125,
pokemon/stat/defense,A2P1WjPGctmzUV2gjBz3XaU7JbMQrJpu6QBZqz1sFFVU,80,
pokemon/stat/hp,A2P1WjPGctmzUV2gjBz3XaU7JbMQrJpu6QBZqz1sFFVU,75,
pokemon/stat/special-attack,A2P1WjPGctmzUV2gjBz3XaU7JbMQrJpu6QBZqz1sFFVU,60,
pokemon/stat/special-defense,A2P1WjPGctmzUV2gjBz3XaU7JbMQrJpu6QBZqz1sFFVU,100,
pokemon/stat/speed,A2P1WjPGctmzUV2gjBz3XaU7JbMQrJpu6QBZqz1sFFVU,85,
pokemon/type/0,A2P1WjPGctmzUV2gjBz3XaU7JbMQrJpu6QBZqz1sFFVU,fire,
pokemon/type/1,A2P1WjPGctmzUV2gjBz3XaU7JbMQrJpu6QBZqz1sFFVU,ghost,
pokemon/name,A45cRr46Erb7ENzZaVQ2AdpCBk7LeYtWiBJVDdVN8tg1,maushold-family-of-four,
pokemon/stat/attack,A45cRr46Erb7ENzZaVQ2AdpCBk7LeYtWiBJVDdVN8tg1,75,
pokemon/stat/defense,A45cRr46Erb7ENzZaVQ2AdpCBk7LeYtWiBJVDdVN8tg1,70,
pokemon/stat/hp,A45cRr46Erb7ENzZaVQ2AdpCBk7LeYtWiBJVDdVN8tg1,74,
pokemon/stat/special-attack,A45cRr46Erb7ENzZaVQ2AdpCBk7LeYtWiBJVDdVN8tg1,65,
pokemon/stat/special-defense,A45cRr46Erb7ENzZaVQ2AdpCBk7LeYtWiBJVDdVN8tg1,75,
pokemon/stat/speed,A45cRr46Erb7ENzZaVQ2AdpCBk7LeYtWiBJVDdVN8tg1,111,
pokemon/type/0,A45cRr46Erb7ENzZaVQ2AdpCBk7LeYtWiBJVDdVN8tg1,normal,
pokemon/name,A5mswyFrtmQPkPBfbrj2eSSsyDYz8TxuwEj3NgUh9fV4,frillish,
pokemon/stat/attack,A5mswyFrtmQPkPBfbrj2eSSsyDYz8TxuwEj3NgUh9fV4,40,
pokemon/stat/defense,A5mswyFrtmQPkPBfbrj2eSSsyDYz8TxuwEj3NgUh9fV4,50,
pokemon/stat/hp,A5mswyFrtmQPkPBfbrj2eSSsyDYz8TxuwEj3NgUh9fV4,55,
pokemon/stat/special-attack,A5mswyFrtmQPkPBfbrj2eSSsyDYz8TxuwEj3NgUh9fV4,65,
pokemon/stat/special-defense,A5mswyFrtmQPkPBfbrj2eSSsyDYz8TxuwEj3NgUh9fV4,85,
pokemon/stat/speed,A5mswyFrtmQPkPBfbrj2eSSsyDYz8TxuwEj3NgUh9fV4,40,
pokemon/type/0,A5mswyFrtmQPkPBfbrj2eSSsyDYz8TxuwEj3NgUh9fV4,water,
pokemon/type/1,A5mswyFrtmQPkPBfbrj2eSSsyDYz8TxuwEj3NgUh9fV4,ghost,
pokemon/name,A68uzLC8p1XGx4gMpf9ctuDujzujNZ61oerDrFre1vtC,bergmite,
pokemon/stat/attack,A68uzLC8p1XGx4gMpf9ctuDujzujNZ61oerDrFre1vtC,69,
